"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/069261 / JJKZWZ95-069261";"Fatura simplificada";"2025-08-23";"41,48 €";"5,21 €";"36,27 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/075590 / JJKZWZ95-075590";"Fatura simplificada";"2025-09-26";"28,52 €";"5,00 €";"23,52 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680652212212020/252144 / JFVN3FY2-252144";"Fatura simplificada";"2025-08-17";"26,46 €";"4,95 €";"21,51 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932511121515/002825 / J6F4D683-002825";"Fatura simplificada";"2025-11-30";"31,23 €";"4,76 €";"26,47 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680022212212020/261658 / JFV73FG5-261658";"Fatura simplificada";"2025-10-09";"34,29 €";"4,69 €";"29,60 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680062212212020/341901 / JFVN3FWD-341901";"Fatura simplificada";"2025-06-10";"35,17 €";"4,68 €";"30,49 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680022212212020/254523 / JFV73FG5-254523";"Fatura simplificada";"2025-09-01";"39,88 €";"4,65 €";"35,23 €";"Pendente";"X";""
"Outros";"507170490 - Lojas Primark Portugal - Exploração Gestão e Administração de Espaços Comerciais S A";"FS 422013003/15672 / JJRFGWMY-15672";"Fatura simplificada";"2025-07-06";"24,80 €";"4,64 €";"20,16 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/094827 / JJK83B4X-094827";"Fatura simplificada";"2025-11-28";"25,07 €";"4,33 €";"20,74 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680022212212020/261932 / JFV73FG5-261932";"Fatura simplificada";"2025-10-10";"27,11 €";"4,20 €";"22,91 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/087278 / JJK83B4X-087278";"Fatura simplificada";"2025-10-24";"40,42 €";"4,16 €";"36,26 €";"Pendente";"X";""
"Outros";"503246468 - Maxmat - Distribuição de Materiais de Construção, Unipessoal Lda";"FT AEA004/128729 / JF56GFKG-128729";"Fatura";"2025-08-09";"21,96 €";"4,11 €";"17,85 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/064725 / JJK83B4X-064725";"Fatura simplificada";"2025-07-12";"30,89 €";"4,10 €";"26,79 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/067242 / JJK739TP-067242";"Fatura simplificada";"2025-09-24";"29,80 €";"3,92 €";"25,88 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/285120 / JFVD3FPF-285120";"Fatura simplificada";"2025-07-30";"28,75 €";"3,89 €";"24,86 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680912407251530/081191 / JJKZWZ95-081191";"Fatura simplificada";"2025-10-26";"29,42 €";"3,80 €";"25,62 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/074899 / JJK83B4X-074899";"Fatura simplificada";"2025-08-29";"25,96 €";"3,77 €";"22,19 €";"Pendente";"X";""
"Outros";"515217468 - Campeão das Chaves Codificadas Unipessoal Lda";"FC 19A/45488 / JFZ65JPT-45488";"Fatura-recibo";"2025-12-16";"20,00 €";"3,74 €";"16,26 €";"Registado";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/331835 / JJVN9M2W-331835";"Fatura simplificada";"2025-10-30";"20,00 €";"3,74 €";"16,26 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/246962 / JJVN9M2W-246962";"Fatura simplificada";"2025-06-25";"20,00 €";"3,74 €";"16,26 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"NC 263762001/003980 / JJV29M23-003980";"Nota de crédito";"2025-06-25";"20,00 €";"3,74 €";"16,26 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/246963 / JJVN9M2W-246963";"Fatura simplificada";"2025-06-25";"20,00 €";"3,74 €";"16,26 €";"Pendente";"X";""
"Manutenção e reparação de veículos automóveis";"505189119 - Número Um - Reparação de Automóveis S.A.";"FR9016 FR1625/920 / JJWSWPHK-920";"Fatura-recibo";"2025-06-16";"19,99 €";"3,74 €";"16,25 €";"Registado";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202516/1652236 / JJBTKZHZ-1652236";"Fatura";"2025-06-02";"19,85 €";"3,71 €";"16,14 €";"Registado";"X";""
"";"504904620 - Donalber - Restauração Rápida, Unipessoal, Lda";"FS 2025005832A/8325 / JJWBVW4Y-8325";"Fatura simplificada";"2025-07-04";"29,25 €";"3,48 €";"25,77 €";"Pendente";"X";""
"";"503630330 - Worten - Equipamentos Para o Lar S A";"FT CDT001/068140 / JF5X4YNR-068140";"Fatura";"2025-07-26";"19,98 €";"3,36 €";"16,62 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/063261 / JJK739TP-063261";"Fatura simplificada";"2025-08-31";"24,04 €";"3,23 €";"20,81 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/068968 / JJK739TP-068968";"Fatura simplificada";"2025-10-03";"20,34 €";"3,12 €";"17,22 €";"Pendente";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FS 20250020802/019574 / JJXSM2V3-019574";"Fatura simplificada";"2025-08-11";"15,95 €";"2,98 €";"12,97 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/081152 / JJK739TP-081152";"Fatura simplificada";"2025-12-13";"17,56 €";"2,92 €";"14,64 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680652212212020/229028 / JFVN3FY2-229028";"Fatura simplificada";"2025-05-28";"24,95 €";"2,90 €";"22,05 €";"Pendente";"X";""
"Saúde";"507753224 - Medeiros da Silva, Lda";"FR U005/67529 / JJWPZSWC-67529";"Fatura-recibo";"2025-12-20";"45,94 €";"2,88 €";"43,06 €";"Registado";"X";""
